id;uga;etablissement;adresse;cp;ville;tel;lat;lon
1;92NEU;;1 ALLEE CLAUDE MONET;92200;LEVALLOIS PERRET;09 81 96 61 44;48.8979392;2.2725345
2;92LEV;;1 ALLEE PIERRE BURELLE;92300;LEVALLOIS PERRET;01 55 63 32 32;48.896257;2.2851562
3;75INV;;1 AVENUE DE LOWENDAL;75007;PARIS;01 45 63 18 43;48.853681;2.3103697
4;75INV;;1 BIS AVENUE FRANCO RUSSE;75007;PARIS;01 42 73 12 80;48.8600996;2.2989857
5;75INV;;1 BIS PASSAGE DE LA VIERGE;75007;PARIS;01 71 28 23 46;48.8558567;2.3067922
6;92LEV;;1 BIS RUE COLLANGE;92300;LEVALLOIS PERRET;;48.8985086;2.2928865
7;75INV;;1 BOULEVARD DU MONTPARNASSE;75007;PARIS;01 45 67 00 91;48.8468546;2.317211
8;75INV;;1 PLACE JOFFRE;75007;PARIS;01 44 42 58 61;48.8540234;2.3055622
9;75TER;;1 PLACE JULES RENARD;75017;PARIS;01 56 79 67 27;48.8845008;2.2888822
10;75PER;;1 RUE DE CHAZELLES;75017;PARIS;01 53 10 10 01;48.8795003;2.3032989
11;75INV;;1 RUE DE NARBONNE;75007;PARIS;;48.853043;2.3250028
12;75INV;;1 RUE DE VILLERSEXEL;75007;PARIS;01 42 22 25 95;48.8581902;2.3236202
13;75INV;;1 RUE DU MARECHAL HARISPE;75007;PARIS;;48.8584355;2.2984769
14;92LEV;;1 RUE DU PARC;92300;LEVALLOIS PERRET;01 69 48 46 78;48.897725;2.2838973
15;75PER;;1 RUE DU PRINTEMPS;75017;PARIS;01 47 66 78 00;48.8868503;2.3087576
16;75MNP;;1 RUE ERNEST RENAN;75015;PARIS;01 47 34 71 44;48.8443635;2.3093451
17;75TRO;;1 RUE GOETHE;75016;PARIS;01 45 53 13 27;48.866252;2.2989387
18;75TER;;1 RUE LAMENNAIS;75017;PARIS;01 42 89 83 30;48.8735391;2.3032494
19;75MNP;;1 RUE MIZON;75015;PARIS;01 43 22 14 44;48.8413124;2.3152838
20;75VAU;;1 RUE OLIVIER DE SERRES;75015;PARIS;;48.8370967;2.2987323
21;75TRO;;1 VILLA BOISSIERE;75016;PARIS;09 54 40 63 27;48.8662317;2.2906247
22;75TRO;;10 AVENUE D EYLAU;75016;PARIS;01 47 64 33 33;48.8641131;2.2857525
23;75INV;;10 AVENUE DANIEL LESUEUR;75007;PARIS;01 43 06 61 12;48.8476629;2.3174539
24;75TER;;10 RUE BREY;75017;PARIS;01 45 74 93 60;48.8763775;2.2960002
25;75MNP;;10 RUE BROWN SEQUARD;75015;PARIS;01 43 20 05 00;48.8411818;2.3155918
26;92NEU;;10 RUE DE L HOTEL DE VILLE;92200;NEUILLY-SUR-SEINE;01 46 37 48 83;48.8834373;2.2683203
27;75INV;;10 RUE DE ST SIMON;75007;PARIS;01 42 22 41 55;48.8562151;2.3238264
28;75ELY;;10 RUE DU DOCTEUR LANCEREAUX;75008;PARIS;;48.8764544;2.3113096
29;75GRE;;10 RUE DU LAOS;75015;PARIS;01 43 31 57 24;48.8500929;2.3009891
30;75PER;;10 RUE EDOUARD DETAILLE;75017;PARIS;01 58 05 35 50;48.8833378;2.3058827
31;75TRO;;10 RUE FREYCINET;75016;PARIS;01 40 70 15 16;48.865644;2.2982217
32;75TRO;;10 RUE GEORGES VILLE;75016;PARIS;01 45 00 11 99;48.8702613;2.2892335
33;75PAS;;10 RUE JEAN RICHEPIN;75016;PARIS;;48.8617546;2.2741799
34;75GRE;;10 RUE LACORDAIRE;75015;PARIS;01 45 77 46 86;48.8444064;2.2846134
35;75TRO;;10 RUE LAURENT PICHAT;75016;PARIS;01 44 05 90 50;48.8737135;2.2826096
36;75TRO;;10 RUE LEROUX;75016;PARIS;01 45 01 50 92;48.8714574;2.2870614
37;75PER;;10 RUE MARGUERITTE;75017;PARIS;;48.8799928;2.3014649
38;75INV;;10 RUE PIERRE LEROUX;75007;PARIS;01 77 85 53 00;48.8496702;2.3188579
39;75PAS;;10 RUE RAYNOUARD;75016;PARIS;01 42 30 98 12;48.857788;2.2837992
40;75ELY;;10 RUE ROYALE;75008;PARIS;01 42 66 47 82;48.8678578;2.323091
41;92NEU;;10 RUE ST PIERRE;92200;NEUILLY-SUR-SEINE;01 46 37 62 33;48.8823777;2.2709475
42;75VAU;HÔP VAUGIRARD;10 RUE VAUGELAS;75015;PARIS;01 40 45 80 43;48.8344353;2.2946627
43;75GRE;;10-12 VILLA THORETON;75015;PARIS;;48.8374581;2.2849979
44;75INV;;101 RUE ST DOMINIQUE;75007;PARIS;01 40 59 91 82;48.8594826;2.3065868
45;75TER;;102 AVENUE DES CHAMPS ELYSEES;75017;PARIS;;48.8718265;2.3022902
46;75AUT;;102 RUE BOILEAU;75016;PARIS;0`    ;48.8396093;2.2614901
47;92LEV;;103 RUE ARISTIDE BRIAND;92300;LEVALLOIS PERRET;01 47 37 22 80;48.8945318;2.2930941
48;75ELY;;103 RUE DE MIROMESNIL;75008;PARIS;01 43 59 01 91;48.8806731;2.3152952
49;75MNP;;104 RUE CAMBRONNE;75015;PARIS;01 45 67 23 95;48.8409434;2.3037524
50;75AUT;;104 RUE MICHEL ANGE;75016;PARIS;;48.8402458;2.2579627
51;75TRO;;105 AVENUE VICTOR HUGO;75016;PARIS;01 47 55 44 25;48.8262324;2.2931522
52;75PER;;105 BOULEVARD PEREIRE;75017;PARIS;;48.8859322;2.2998346
53;75PER;;105 RUE DE COURCELLES;75017;PARIS;01 42 67 69 57;48.8818816;2.3002176
54;75GRE;MDS JEANNE GARNIER;106 AVENUE EMILE ZOLA;75015;PARIS;01 43 92 21 22;48.8466349;2.2897169
55;75TRO;;106 AVENUE KLEBER;75016;PARIS;01 42 53 20 20;48.8650763;2.2884537
56;92LEV;;106 RUE BAUDIN;92300;LEVALLOIS PERRET;01 55 46 99 99;48.8979892;2.2848212
57;75AUT;;106 RUE JEAN DE LA FONTAINE;75016;PARIS;01 45 25 20 64;48.8493259;2.2669802
58;75TRO;;108 AVENUE VICTOR HUGO;75016;PARIS;;48.8685478;2.2823964
59;75INV;;108 RUE DU BAC;75007;PARIS;01 45 49 07 06;48.8531784;2.3236611
60;75GRE;;108 RUE DU THEATRE;75015;PARIS;01 45 79 62 87;48.8463298;2.2946412
61;92NEU;;109 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 47 47 66 02;48.8812173;2.2705301
62;75INV;;109 RUE DE L UNIVERSITE;75007;PARIS;01 45 50 19 45;48.8610672;2.3109751
63;75GRE;;109 RUE ST CHARLES;75015;PARIS;01 45 77 81 97;48.8452849;2.2845461
64;75TRO;;11 AVENUE D EYLAU;75016;PARIS;01 45 53 27 62;48.8639334;2.2853305
65;75TRO;;11 AVENUE RAYMOND POINCARE;75016;PARIS;01 56 62 10 77;48.8643161;2.2865439
66;92NEU;;11 BIS AVENUE DE MADRID;92200;NEUILLY-SUR-SEINE;01 47 22 98 61;48.8829982;2.2598909
67;75TER;;11 BIS AVENUE MAC MAHON;75017;PARIS;01 44 09 73 69;48.8759828;2.2944153
68;75TER;;11 BIS PASSAGE DOISY;75017;PARIS;01 42 25 59 44;48.8780928;2.2922143
69;75PER;;11 BIS RUE AMPERE;75017;PARIS;;48.8851978;2.3061793
70;75INV;;11 BIS RUE CESAR FRANCK;75007;PARIS;01 45 24 01 24;48.8470858;2.309079
71;75INV;;11 BIS AVENUE ELISEE RECLUS;75007;PARIS;;48.8582298;2.2979608
72;75MNP;;11 PLACE ADOLPHE CHERIOUX;75015;PARIS;01 80 50 38 36;48.8399814;2.3011222
73;75TER;;11 RUE ANATOLE DE LA FORGE;75017;PARIS;09 87 15 68 05;48.8763416;2.2923243
74;75AUT;HÔP STE-PÉRINE;11 RUE CHARDON LAGACHE;75016;PARIS;01 44 96 31 54;48.8453132;2.2669561
75;92NEU;;11 RUE D ORLEANS;92200;NEUILLY-SUR-SEINE;;48.8814608;2.2722982
76;75GRE;;11 RUE DE LA CONVENTION;75015;PARIS;01 45 75 69 70;48.8455011;2.278471
77;75AUT;;11 RUE DE LA SOURCE;75016;PARIS;01 55 74 27 00;48.8511211;2.2681179
78;75PAS;;11 RUE DE LA TOUR;75016;PARIS;01 45 04 37 19;48.8590529;2.28319
79;75AUT;MDS MARY JACOBI;11 RUE DE VARIZE;75016;PARIS;01 45 27 15 33;48.8410129;2.2576472
80;75ELY;;11 RUE DE VEZELAY;75008;PARIS;01 45 61 18 07;48.8784498;2.3139265
81;75AUT;;11 RUE DES PERCHAMPS;75016;PARIS;01 42 15 15 75;48.8481688;2.2671928
82;92NEU;;11 RUE DU GENERAL CORDONNIER;92200;NEUILLY-SUR-SEINE;01 47 45 24 95;48.8840501;2.27494
83;75AUT;;11 RUE DU GENERAL NIOX;75016;PARIS;01 45 65 61 24;48.8366293;2.2638232
84;75GRE;;11 RUE DUPLEIX;75015;PARIS;01 45 67 98 76;48.8517391;2.2980578
85;75INV;;11 RUE EBLE;75007;PARIS;01 40 54 30 04;48.8489409;2.3133137
86;75VAU;;11 RUE EUGENE GIBEZ;75015;PARIS;;48.8355489;2.2954091
87;75PER;;11 RUE LEON COGNIET;75017;PARIS;;48.8813087;2.302483
88;75TRO;;11 RUE MAGELLAN;75016;PARIS;01 47 20 82 00;48.870434;2.2997712
89;75ELY;;11 RUE VIGNON;75008;PARIS;01 40 06 04 49;48.8709634;2.3261114
90;75PER;;110 AVENUE DE VILLIERS;75017;PARIS;01 42 27 97 67;48.8849142;2.2985786
91;92NEU;;111 AVENUE CHARLES DE GAULLE;92200;NEUILLY-SUR-SEINE;01 46 37 72 02;48.8814173;2.2698981
92;75VAU;;111 RUE OLIVIER DE SERRES;75015;PARIS;01 40 50 66 88;48.8312362;2.2926857
93;75PER;;112 BOULEVARD PEREIRE;75017;PARIS;01 47 63 87 20;48.8857803;2.298096
94;75INV;;112 RUE DE VAUGIRARD;75007;PARIS;;48.8457289;2.3219402
95;75MNP;;112 RUE LECOURBE;75015;PARIS;01 43 06 40 12;48.8427566;2.3028335
96;75MNP;;113 117 RUE CAMBRONNE;75015;PARIS;01 56 58 04 44;48.8426951;2.3026387
97;75AUT;;114 AVENUE MOZART;75016;PARIS;01 45 25 08 82;48.8502534;2.2668038
98;92LEV;;114 RUE BAUDIN;92300;LEVALLOIS PERRET;01 47 39 32 34;48.8979892;2.2848212
99;75INV;;114 RUE DE VAUGIRARD;75007;PARIS;01 42 84 09 20;48.8456433;2.3217822
100;92LEV;;114 RUE VICTOR HUGO;92300;LEVALLOIS PERRET;01 55 91 75 00;48.8968453;2.2957763
101;75AUT;;116 AVENUE DE VERSAILLES;75016;PARIS;01 42 88 29 25;48.8422818;2.2680259
102;75GRE;;117 RUE DU THEATRE;75015;PARIS;01 45 75 11 88;48.8460343;2.2957337
103;75AUT;;119 RUE DE LA POMPE;75016;PARIS;01 47 27 33 90;48.8656902;2.2793186
