uga;eta;adr;cp;vil;tel;mul;id;lat;lon
75MNP;HÔP UNI NECKER;149 RUE DE SEVRES;75015;PARIS;01 44 49 54 48;"{""GE"": ""3"", ""GY"": ""12"", ""MG"": ""36"", ""NE"": ""10"", ""PE"": ""168"", ""PPSY"": ""7"", ""PSY"": ""3""}";1;48.846456;2.3156805
75PER;;26 AVENUE DE VILLIERS;75017;PARIS;01 42 28 09 00;"{""MG"": ""1""}";2;48.8822543;2.3127945
92NEU;CLI AMBROISE PARÉ;26 BOULEVARD VICTOR HUGO;92200;NEUILLY-SUR-SEINE;01 46 41 31 78;"{""GE"": ""3"", ""GY"": ""3"", ""MG"": ""3"", ""NE"": ""1""}";3;48.88596565;2.280635080808917
75GRE;;154 RUE DE LOURMEL;75015;PARIS;01 45 54 33 58 // 09 78 81 81 34;"{""MG"": ""2""}";5;48.8399872;2.2833134
75INV;;15 AVENUE DE VILLARS;75007;PARIS;01 45 51 23 31;"{""MG"": ""1""}";7;48.8523662;2.3138275
75GRE;;28 RUE VIALA;75015;PARIS;01 45 77 38 29;"{""MG"": ""1""}";8;48.850229;2.2895758
75INV;;19 RUE MONSIEUR;75007;PARIS;01 45 66 84 05;"{""MG"": ""3""}";9;48.8502974;2.3165995
75GRE;CTR MÉD DES CÉVENNES;66 RUE DES CEVENNES;75015;PARIS;09 87 36 77 75;"{""MG"": ""5""}";11;48.8417337;2.2821122
75TRO;;61 AVENUE VICTOR HUGO;75016;PARIS;01 53 72 93 12;"{""MG"": ""1"", ""PSY"": ""1""}";12;48.8707842;2.2882617
75GRE;;117 RUE DU THEATRE;75015;PARIS;01 45 75 11 88;"{""MG"": ""1""}";13;48.8460461;2.2957332
75TER;;22 AVENUE DE FRIEDLAND;75017;PARIS;01 45 72 30 02;"{""MG"": ""1""}";14;48.8745138;2.3004867
75PER;;14 RUE DAUBIGNY;75017;PARIS;01 43 14 84 30;"{""MGY"": ""1""}";15;48.8851693;2.308459
75GRE;;17 RUE MADEMOISELLE;75015;PARIS;01 47 34 11 49 // 01 45 75 20 88;"{""MG"": ""2""}";17;48.8436415;2.2948787
75VAU;MDS CONVENTION-LECOURBE;223 RUE LECOURBE;75015;PARIS;01 42 50 02 61 // 01 75 95 13 59;"{""MG"": ""6"", ""PE"": ""1""}";18;48.8397469;2.293798
