id;ddv;ddvs;rdv;mode;com;rec;motif;lun_m;lun_a;mar_m;mar_a;mer_m;mer_a;jeu_m;jeu_a;ven_m;ven_a
1;;[];;;;;;;;;;;;;;;
2;2024-06-21 16:30:00;[Timestamp('2024-01-22 10:00:00'), Timestamp('2023-07-24 14:00:00')];True;RDV;;OUI;;;;;;;;;;;
3;;[];;;;;;;;08:30-14:00(R);14:00-19:25(R);;;;14:30-19:25(R);08:30-13:45(R);
4;2024-01-28 15:00:00;[Timestamp('2024-01-28 15:00:00')];;;COO LAISSÉES À LA SECRÉTAIRE;;;;;;;;;;;;
5;2023-09-12 09:30:00;[Timestamp('2023-09-12 09:30:00'), Timestamp('2023-07-18 10:00:00')];;L;;OUI;;08:45-14:00(R);14:00-18:45(R);08:45-14:00(R);14:00-18:45(R);08:45-14:00(R);14:00-18:45(R);08:45-14:00(R);14:00-18:45(R);08:45-14:00(R);14:00-18:45(R)
6;;[];;;;;;;;;;;;;;;
7;2023-07-21 14:00:00;[Timestamp('2023-07-21 14:00:00')];True;;;;;08:45-14:00(R);14:00-19:30(R);08:45-14:00(R);14:00-19:30(R);08:45-14:00(R);14:00-19:30(R);08:45-14:00(R);14:00-19:30(R);08:45-14:00(R);14:00-19:30(R)
8;2023-10-18 09:30:00;[Timestamp('2023-10-18 09:30:00'), Timestamp('2023-07-27 12:30:00')];;L;;;;"OK
09:00-14:00(R)";14:00-19:00(R);"OK
09:00-14:00(R)";14:00-19:00(R);"OK
09:15-14:00(R)";"14:00-14:20(R)
15:00-19:00(R)";"OK
09:00-14:00(R)";14:00-19:00(R);"OK
09:00-12:00(R)";
9;2024-01-23 09:00:00;[Timestamp('2024-01-23 09:00:00'), Timestamp('2024-01-16 10:30:00'), Timestamp('2023-11-07 11:00:00'), Timestamp('2023-07-28 10:00:00')];True;RDV;;OUI;;;;;;;;;;;
10;2023-10-20 11:30:00;[Timestamp('2023-10-20 11:30:00'), Timestamp('2023-07-07 09:00:00')];;RET;;NON;;12:30:00;;;;;;;;;
11;2023-07-17 10:00:00;[Timestamp('2023-07-17 10:00:00')];;HC;;;;09:15-14:00(R);14:00-19:00(R);09:15-14:00(R);14:00-19:00(R);09:15-14:00(R);14:00-19:00(R);09:15-14:00(R);14:00-19:00(R);09:15-14:00(R);14:00-19:00(R)
12;;[];;NRP;;PVM1;PAS INTÉRESSÉ PAR TDAH;;;;;;;;;;
