Date	Payee	Amount	Category	Memo	Status	Number
2022-01-01	SUMERIA		Solde douverture		R	
2022-01-03	MONOPRIX	-0,6	Alimentation:Supermarché		R	
2022-01-04	SELECTA	-0,4	Alimentation:TakeAway		R	
2022-01-04	SELECTA	-7,1	Alimentation:TakeAway		R	
2022-01-04	MIGUEL FERREIRA	20	Remboursements divers:Remboursements divers		R	
2022-01-04	RATP	-1,9	Transport:Transports en commun		R	
2022-01-04	RATP	-1,9	Transport:Transports en commun		R	
2022-01-04	SNCF	-5,2	Transport:Transports en commun		R	
2022-01-04	SNCF	-5,2	Transport:Transports en commun		R	
2022-01-05	MONOPRIX	-42,01	Alimentation:Supermarché		R	
2022-01-05	LYDIA	-5	Frais bancaires		R	
2022-01-05	MIGUEL FERREIRA	-220	Junk:T		R	
2022-01-05	FREE MOBILE	-46,98	Logement:Frais généraux:Téléphone mobile		R	
2022-01-05	APPLE	-39,99	Loisirs:Service Numérique		R	
2022-01-05	REÇU	140	Remboursements divers:Remboursements divers		R	
2022-01-05	ATM	-20	Retrait despèces		R	
2022-01-05	ATM	-30	Retrait despèces		R	
2022-01-05	PHARMACIE REPUBLIQUE	-19,98	Santé:Paharmacie		R	
2022-01-05	BONNEFOY JULIEN	429,6	Transaction interne		R	
2022-01-05	REVOLUT	-13,99	Transaction interne		R	
2022-01-05	SNCF	-75,2	Transport:Transports en commun		R	
2022-01-06	MONOPRIX	-20,29	Alimentation:Supermarché		R	
2022-01-06	MICROSOFT	-7	Loisirs:Service Numérique		R	
2022-01-07	LA BANQUE POSTALE	-30	Retrait despèces		R	
2022-01-11	SITIS MARKET	-7,52	Alimentation:Supermarché		R	
2022-01-11	LE LONGCHAMP	-17,4	Junk:Tabac		R	
2022-01-11	BONNEFOY JULIEN	84,4	Transaction interne		R	
2022-01-11	UBER	-7,29	Transport:VTC-Taxi		R	
2022-01-12	SITIS MARKET	-7,07	Alimentation:Supermarché		R	
2022-01-12	SITIS MARKET	-6,37	Alimentation:Supermarché		R	
2022-01-12	MIGUEL FERREIRA	-220	Junk:T		R	
2022-01-12	MIGUEL FERREIRA	-220	Junk:T		R	
2022-01-12	LA POSTE	-9	Logement:Frais généraux:Services postaux		R	
2022-01-12	NORDVPN	-12,71	Loisirs:Service Numérique		R	
2022-01-12	FONCIA AD IMMOBILIER GERANCE	705	Revenus fonciers		R	
2022-01-12	PHARMACIE PREMIERE	-44,16	Santé:Paharmacie		R	
2022-01-13	MCDONALDS	-11,35	Alimentation:Fast food		R	
2022-01-13	SITIS MARKET	-7,13	Alimentation:Supermarché		R	
2022-01-13	POLE EMPLOI DR IDF	780,33	Allocations et Sécurité sociale:Allocation de Retour à lEmploi		R	
2022-01-13	LYDIA	-5	Frais bancaires		R	
2022-01-13	MIGUEL FERREIRA	-220	Junk:T		R	
2022-01-13	DUFOUR BONAPA	-27,84	Junk:Tabac		R	
2022-01-13	OUI ENERGY	-424,66	Logement:Frais généraux:Electricité		R	
2022-01-13	JETBRAINS	-6,36	Loisirs:Service Numérique		R	
2022-01-13	LA BANQUE POSTALE	-50	Retrait despèces		R	
2022-01-13	UBER	-13,51	Transport:VTC-Taxi		R	
2022-01-14	ARLOME	-2,6	Junk:Tabac		R	
2022-01-14	APPLE	-6,99	Loisirs:Service Numérique		R	
2022-01-14	LA BANQUE POSTALE	-50	Retrait despèces		R	
2022-01-14	UBER	-14,06	Transport:VTC-Taxi		R	
2022-01-14	UBER	-29,37	Transport:VTC-Taxi		R	
2022-01-15	SITIS MARKET	-11,42	Alimentation:Supermarché		R	
2022-01-15	LE LONGCHAMP	-29,2	Junk:Tabac		R	
2022-01-16	MONOPRIX	-41,43	Alimentation:Supermarché		R	
2022-01-17	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-01-17	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-01-17	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-01-17	AMAZON DIGIT	-1,99	Loisirs:Service Numérique		R	
2022-01-18	MONOPRIX	-18,54	Alimentation:Supermarché		R	
2022-01-18	MIGUEL FERREIRA	-220	Junk:T		R	
2022-01-18	AMAZON	-48,67	Logement:Equipement		R	
2022-01-18	OLIVIER LECHABLE	-610	Logement:Loyer		R	
2022-01-18	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-01-18	FONCIA AD IMMOBILIER GERANCE	1480,26	Revenus fonciers		R	
2022-01-19	E.LECLERC	-22,33	Alimentation:Supermarché		R	
2022-01-19	ATM	-20	Retrait despèces		R	
2022-01-19	UBER	-17,35	Transport:VTC-Taxi		R	
2022-01-20	MONOPRIX	-18,17	Alimentation:Supermarché		R	
2022-01-20	DIRECT ASSURANCE	-20,18	Assurance:Assurance Habitation		R	
2022-01-20	ATM	-20	Retrait despèces		R	
2022-01-21	LYDIA	-1	Frais bancaires		R	
2022-01-21	FDJ	-50	Loterie		R	
2022-01-22	MONOPRIX	-42,58	Alimentation:Supermarché		R	
2022-01-22	SITIS MARKET	-8,84	Alimentation:Supermarché		R	
