date_dt;type;object;category;debit;credit;balance
2024-05-31;cb;TO CARREFOUR;courses;11.34;;3660.91
2024-05-31;cb;TO TABAC PRESSE;tabac/fdj;29.4;;3672.25
2024-05-31;cb;TO FRANPRIX;courses;27.15;;3701.65
2024-05-31;retrait;TO LA SOCIETE GENERALE;cash;150.0;;3728.8
2024-05-31;cb;TO LYDIA SOLUTIONS;frais bancaires;2.25;;3878.8
2024-05-31;cb;TO LYDIA;frais bancaires;9.9;;3881.05
2024-05-30;cb;TO CARREFOUR;courses;9.1;;3890.95
2024-05-30;retrait;TO ATM;cash;150.0;;3900.05
2024-05-30;cb;TO FRANPRIX;courses;31.12;;4050.05
2024-05-30;cb;TO BOULANGERIE THIE;boulangerie;5.8;;4081.17
2024-05-30;cb;TO LYDIA SOLUTIONS;frais bancaires;3.3;;4086.97
2024-05-29;cb;TO GRAND PARIS SEINE OUEST;parking/peage;0.8;;4241.07
2024-05-29;virement entrant;FROM CPAM HAUTS DE SEINE SEPA;divers;;16.55;4366.47
2024-05-29;cb;TO GRAND PARIS SEINE OUEST;parking/peage;4.15;;4242.32
2024-05-29;cb;TO GRAND PARIS SEINE OUEST;parking/peage;0.45;;4241.87
2024-05-29;retrait;TO CIC BOULOGNE RIVES D;cash;120.0;;4246.47
2024-05-29;retrait;TO LA SOCIETE GENERALE;cash;100.0;;4141.07
2024-05-29;cb;TO FRANPRIX;courses;35.1;;4105.97
2024-05-29;cb;TO TABAC PRESSE;tabac/fdj;15.7;;4090.27
2024-05-28;cb;TO CARREFOUR;courses;16.64;;4349.92
2024-05-28;cb;TO LYDIA SOLUTIONS;frais bancaires;1.8;;4366.56
2024-05-27;cb;TO BOULANGERIE THIE;boulangerie;9.6;;587.41
2024-05-27;virement entrant;FROM CPAM HAUTS DE SEINE SEPA;divers;;92.21;679.62
2024-05-27;cb;TO CARREFOUR;courses;19.34;;660.28
2024-05-27;cb;TO DISNEY PLUS;net/tv;11.99;;648.29
2024-05-27;retrait;TO ATM;cash;120.0;;528.29
2024-05-27;cb;TO PHARMACIE TRAPEZE;sante;2.57;;525.72
2024-05-27;virement entrant;FROM STE PHARDEX;Revenus du travail:Salaire net;;3890.73;4416.45
2024-05-27;cb;TO FRANPRIX;courses;29.74;;4386.71
2024-05-27;cb;TO CARREFOUR;courses;18.35;;4368.36
